method,real_path,raw_pattern,normalized_pattern,definition_file,definition_line,usage_count,usage_files,triage
POST,/plugin/api/scenario/excute,/plugin/api/scenario/excute,plugin/api/scenario/excute,src/service/Api/Local/index.ts,162,3,src/service/Api/Local/index.ts src/service/Api/TestScenario/detail.ts src/service/Api/TestScenario/index.ts,
POST,/plugin/api/scenario/terminate,/plugin/api/scenario/terminate,plugin/api/scenario/terminate,src/service/Api/TestScenario/index.ts,156,1,src/service/Api/TestScenario/index.ts,
POST,/plugin/user/login,${TEST_URL_PTRFIX}/user/login,${TEST_URL_PTRFIX}/user/login,src/service/Api/Global/index.ts,50,2,src/service/Api/Global/index.ts src/service/Api/Login/index.ts,
POST,/plugin/user/logout,${TEST_URL_PTRFIX}/user/logout,${TEST_URL_PTRFIX}/user/logout,src/service/Api/Login/index.ts,19,1,src/service/Api/Login/index.ts,
POST,/plugin/variable/reference/scenario,/plugin/variable/reference/scenario,plugin/variable/reference/scenario,src/service/Api/Local/index.ts,170,2,src/service/Api/Local/index.ts src/service/Api/TestScenarioReport/index.ts,
POST,/rest/account/customMenu/type/:param/save,/rest/account/customMenu/type/${type}/save,rest/account/customMenu/type/${type}/save,src/service/Api/User/CustomMenuService.ts,44,1,src/service/Api/User/CustomMenuService.ts,
POST,/rest/account/recentlyOpen/addRecentlyOpen,${ACCOUNT_URL}/recentlyOpen/addRecentlyOpen,${ACCOUNT_URL}/recentlyOpen/addRecentlyOpen,src/service/Api/Global/index.ts,29,1,src/service/Api/Global/index.ts,
POST,/rest/auth/appSecret/p/:param/getList,/rest/auth/appSecret/p/${pid}/getList,rest/auth/appSecret/p/:pid/getList,src/service/Api/Project/AppSecretService.ts,36,1,src/service/Api/Project/AppSecretService.ts,
POST,/rest/global/preference/clientCache/:param/:param,/rest/global/preference/clientCache/${encodeKey}/${project},rest/global/preference/clientCache/${encodeKey}/${project},src/service/Api/PrimaryService/PrimaryCached.ts,92,1,src/service/Api/PrimaryService/PrimaryCached.ts,
POST,/rest/global/translation/get,${GLOBAL_URL}/translation/get,${GLOBAL_URL}/translation/get,src/service/Api/Global/index.ts,60,1,src/service/Api/Global/index.ts,
POST,/rest/investigate/:param/interfaceDesign/list,${PREFIX(pid)}/list,${PREFIX(pid)}/list,src/service/Api/InterfaceDesign/InterfaceDesign.ts,28,1,src/service/Api/InterfaceDesign/InterfaceDesign.ts,
POST,/rest/platform/audit/company/pageQuery,/rest/platform/audit/company/pageQuery,rest/platform/audit/company/pageQuery,src/components/AuditHistory/api.ts,11,1,src/components/AuditHistory/api.ts,
POST,/rest/platform/audit/p/:param/pageQuery,/rest/platform/audit/p/${pid}/pageQuery,rest/platform/audit/p/:pid/pageQuery,src/components/AuditHistory/api.ts,16,1,src/components/AuditHistory/api.ts,
POST,/rest/platform/audit/pageQuery,/rest/platform/audit/pageQuery,rest/platform/audit/pageQuery,src/components/AuditHistory/api.ts,6,1,src/components/AuditHistory/api.ts,
