method,real_path,raw_pattern,definition,usage_count,usage_files
PUT,/rest/quality/a/{appId}/apiDefinition/listResponses,${URL(aid)}/listResponses,src/service/Api/ApiDefinition/index.ts:131,1,src/service/Api/ApiDefinition/index.ts
PUT,/rest/quality/a/{appId}/apiDefinition/mock/sort,${URL(aid)}/mock/sort,src/service/Api/ApiDefinition/index.ts:74,1,src/service/Api/ApiDefinition/index.ts
PUT,/rest/quality/a/{appId}/apiDefinition/move,${URL(aid)}/move,src/service/Api/ApiDefinition/index.ts:171,1,src/service/Api/ApiDefinition/index.ts
PUT,/rest/quality/a/{appId}/apiDefinition/rename,${URL(aid)}/rename,src/service/Api/ApiDefinition/index.ts:180,2,src/service/Api/ApiDefinition/index.ts | src/service/Api/ApiGroup/index.ts
PUT,/rest/quality/a/{appId}/apiGroup/createModelEdition,${URL(aid)}/createModelEdition,src/service/Api/ApiGroup/index.ts:207,1,src/service/Api/ApiGroup/index.ts
PUT,/rest/quality/a/{appId}/apiGroup/editGroup,${URL(aid)}/editGroup,src/service/Api/ApiGroup/index.ts:139,1,src/service/Api/ApiGroup/index.ts
PUT,/rest/quality/a/{appId}/apiGroup/editLocalShareConfig,${URL(aid)}/editLocalShareConfig,src/service/Api/ApiGroup/index.ts:202,1,src/service/Api/ApiGroup/index.ts
PUT,/rest/quality/a/{appId}/apiGroup/resetFetchCode/:param,${URL(aid)}/resetFetchCode/${id},src/service/Api/ApiGroup/index.ts:192,1,src/service/Api/ApiGroup/index.ts
PUT,/rest/quality/a/{appId}/apiGroup/saveCustomPage,${URL(aid)}/saveCustomPage,src/service/Api/ApiGroup/index.ts:71,1,src/service/Api/ApiGroup/index.ts
PUT,/rest/quality/a/{appId}/apiGroup/saveObjectModel,${URL(aid)}/saveObjectModel,src/service/Api/ApiGroup/index.ts:154,1,src/service/Api/ApiGroup/index.ts
PUT,/rest/quality/a/{appId}/apiGroup/updateModelEdition,${URL(aid)}/updateModelEdition,src/service/Api/ApiGroup/index.ts:211,1,src/service/Api/ApiGroup/index.ts
PUT,/rest/quality/a/{appId}/uiStep/:param,${uiStepScoped(appId)}/${id},src/service/Api/PlayWright/api.ts:31,1,src/service/Api/PlayWright/api.ts
